Vocab,Collocation 1,Collocation 2,Collocation 3
otherwise,think otherwise,suggest otherwise,be otherwise engaged
context,the broad context,put into context,a meaningful context
championship,the international championship,take part in a championship,win the championship
revolution,a cultural revolution,put down a revolution,bring about a revolution
actor,a talented actor,the actor performs,a supporting actor
recall,if I recall correctly,can you recall exactly what,as I recall
rabbit,hunt rabbits,rabbit skin,the rabbit hops
bother,don't want to cause you any bother,no bother,a spot of bother
combination,a winning combination,a unique combination,use in combination with
elderly,an elderly man,an elderly patient,a place for the elderly
declare,declare openly,declare war,I declare you man and wife.
entire,waste an entire day,wipe out the entire population,in my entire life
obvious,appear obvious to everyone,blatantly obvious,for obvious reasons
commercial,television commercials,make a commercial,appear in a commercial
bury,be buried alive,bury underground,get buried under a pile of papers
willing,be perfectly willing to help,be more than willing to,an army of willing helpers
version,the up-to-date version,the authorized version,release the latest version of
introduction,a brief introduction to the course,make the introductions,a letter of introduction
exhibition,be on exhibition at the museum,visit an exhibition,an exhibition of his work
poet,a famous poet,inspire poets,an extremely gifted poet
package,unwrap a package,put together a package,a software package
broad,a person of broad scope,a broad-minded person,broad shoulders
crop,a cash crop,gather in a bumper crop,harvest a crop
deliver,deliver free of charge,deliver by hand,deliver a baby
plenty,get plenty of fresh air,have plenty to talk about,have plenty of time
seed,a seed packet,plant seeds,the top seed
mostly,many people there mostly women,We're mostly out on Sundays.,The country is mostly desert.
afford,can barely afford to pay,can't afford any more delays,can ill afford the time
stair,climb the stairs,the top of the stairs,a flight of stairs
concentrate,concentrate on your homework,concentrate your efforts on,Relaxing concentrates the mind.
researcher,a post-graduate researcher,researchers in this field,a team of researchers
originally,was originally circular in shape,than we had originally hoped,comes originally from Tokyo
besides,for other reasons besides money,have no family besides him,and much more besides
pure,be pure in heart,pure gold,it was pure chance that
surprising,find it surprising,was not altogether surprising,was not at all surprising
layer,shine through a thin layer of cloud,the hole in the ozone layer,wear several layers of clothing
